Freq(Hz),SPL_L(dB),Phase_L(degrees),SPL_R(dB),Phase_R(degrees)
2433.588,72.983,4.192,62.901,2.154
2433.925,72.983,4.195,62.900,2.161
2434.261,72.982,4.202,62.900,2.173
2434.598,72.983,4.211,62.900,2.186
2434.934,72.984,4.217,62.902,2.197
2435.271,72.985,4.217,62.904,2.202
2435.607,72.986,4.210,62.906,2.201
2435.944,72.987,4.200,62.907,2.192
2436.280,72.986,4.192,62.907,2.180
2436.617,72.985,4.188,62.906,2.169
2436.953,72.984,4.189,62.904,2.165
2437.290,72.984,4.191,62.902,2.168
2437.626,72.985,4.188,62.900,2.178
2437.962,72.985,4.181,62.899,2.192
2438.299,72.984,4.172,62.899,2.203
2438.635,72.982,4.167,62.900,2.209
2438.972,72.980,4.172,62.901,2.208
2439.308,72.978,4.186,62.900,2.203
2439.645,72.979,4.203,62.899,2.199
2439.981,72.981,4.214,62.897,2.202
2440.317,72.983,4.216,62.895,2.214
2440.654,72.985,4.208,62.895,2.230
2440.990,72.985,4.197,62.896,2.244
2441.327,72.984,4.189,62.899,2.249
2441.664,72.982,4.189,62.901,2.242
2442.000,72.981,4.196,62.901,2.226
2442.336,72.981,4.206,62.900,2.209
2442.673,72.982,4.215,62.898,2.202
2443.009,72.982,4.219,62.895,2.209
2443.346,72.983,4.221,62.893,2.226
2443.682,72.983,4.222,62.894,2.246
2444.019,72.983,4.225,62.896,2.258
2444.355,72.984,4.230,62.898,2.258
2444.691,72.984,4.234,62.900,2.249
2445.028,72.986,4.234,62.900,2.239
2445.364,72.987,4.229,62.900,2.235
2445.701,72.987,4.219,62.899,2.238
2446.037,72.986,4.210,62.899,2.245
2446.374,72.984,4.205,62.900,2.252
2446.710,72.982,4.207,62.901,2.255
2447.047,72.981,4.216,62.902,2.255
2447.383,72.980,4.230,62.902,2.256
2447.720,72.981,4.241,62.903,2.257
2448.056,72.983,4.245,62.904,2.257
2448.393,72.984,4.241,62.906,2.251
2448.729,72.985,4.231,62.906,2.239
2449.065,72.984,4.221,62.906,2.222
2449.402,72.983,4.217,62.904,2.209
2449.738,72.981,4.221,62.900,2.207
2450.075,72.981,4.231,62.897,2.218
2450.411,72.981,4.242,62.896,2.236
2450.748,72.982,4.248,62.896,2.253
2451.084,72.983,4.248,62.898,2.259
2451.420,72.984,4.243,62.899,2.254
2451.757,72.983,4.239,62.899,2.241
2452.094,72.982,4.240,62.897,2.231
2452.430,72.982,4.249,62.895,2.229
2452.767,72.982,4.260,62.892,2.239
2453.103,72.983,4.270,62.890,2.256
2453.439,72.985,4.273,62.890,2.274
2453.776,72.986,4.269,62.892,2.288
2454.112,72.987,4.262,62.894,2.295
2454.449,72.986,4.257,62.896,2.294
2454.785,72.986,4.257,62.897,2.288
2455.122,72.985,4.261,62.898,2.279
2455.458,72.985,4.267,62.898,2.270
2455.794,72.986,4.272,62.897,2.266
2456.131,72.986,4.272,62.896,2.267
2456.467,72.986,4.272,62.895,2.272
2456.804,72.986,4.272,62.896,2.279
2457.140,72.986,4.275,62.896,2.283
2457.477,72.986,4.279,62.897,2.284
2457.813,72.987,4.282,62.897,2.283
2458.150,72.987,4.280,62.896,2.285
2458.486,72.988,4.275,62.895,2.292
2458.823,72.987,4.269,62.895,2.305
2459.159,72.986,4.268,62.897,2.316
2459.496,72.985,4.274,62.899,2.320
2459.832,72.984,4.283,62.901,2.315
2460.168,72.985,4.290,62.902,2.303
2460.505,72.986,4.290,62.902,2.290
2460.841,72.987,4.282,62.900,2.283
2461.178,72.986,4.272,62.899,2.283
2461.514,72.984,4.266,62.898,2.287
2461.851,72.982,4.269,62.897,2.292
2462.187,72.981,4.282,62.897,2.294
2462.523,72.981,4.298,62.897,2.296
2462.860,72.982,4.310,62.896,2.299
2463.197,72.984,4.312,62.896,2.305
2463.533,72.986,4.304,62.897,2.311
2463.870,72.986,4.291,62.898,2.312
2464.206,72.985,4.280,62.899,2.306
2464.542,72.983,4.277,62.899,2.298
2464.879,72.981,4.283,62.897,2.294
2465.215,72.980,4.295,62.895,2.302
2465.552,72.980,4.308,62.895,2.320
2465.888,72.982,4.318,62.896,2.338
2466.225,72.983,4.323,62.899,2.347
2466.561,72.984,4.322,62.901,2.340
2466.897,72.985,4.319,62.902,2.322
2467.234,72.985,4.316,62.900,2.305
2467.570,72.985,4.315,62.897,2.302
2467.907,72.985,4.317,62.893,2.318
2468.244,72.985,4.320,62.892,2.347
2468.580,72.986,4.322,62.893,2.375
2468.917,72.987,4.321,62.896,2.392
2469.253,72.987,4.315,62.899,2.394
2469.589,72.987,4.309,62.901,2.383
2469.926,72.986,4.305,62.901,2.370
2470.262,72.984,4.309,62.900,2.361
2470.599,72.983,4.319,62.899,2.357
2470.935,72.984,4.331,62.898,2.358
2471.271,72.985,4.340,62.897,2.360
2471.608,72.987,4.338,62.896,2.361
2471.944,72.989,4.328,62.896,2.361
2472.281,72.989,4.313,62.896,2.362
2472.617,72.987,4.302,62.896,2.361
2472.954,72.985,4.301,62.896,2.360
2473.290,72.983,4.310,62.896,2.357
2473.627,72.983,4.324,62.896,2.354
2473.963,72.985,4.334,62.895,2.353
2474.300,72.987,4.334,62.895,2.354
2474.636,72.989,4.322,62.895,2.356
2474.973,72.989,4.304,62.896,2.359
2475.309,72.988,4.289,62.896,2.361
2475.646,72.985,4.284,62.896,2.363
2475.982,72.982,4.292,62.897,2.367
2476.318,72.980,4.310,62.897,2.373
2476.655,72.980,4.330,62.898,2.381
2476.991,72.982,4.347,62.900,2.384
2477.328,72.984,4.355,62.902,2.381
2477.664,72.985,4.355,62.903,2.373
2478.000,72.986,4.351,62.903,2.363
2478.337,72.986,4.348,62.901,2.360
2478.673,72.986,4.348,62.899,2.368
2479.010,72.985,4.352,62.897,2.385
2479.347,72.985,4.357,62.898,2.405
2479.683,72.985,4.360,62.900,2.418
2480.020,72.986,4.359,62.902,2.420
2480.356,72.985,4.356,62.903,2.412
2480.692,72.984,4.353,62.903,2.400
2481.029,72.983,4.354,62.901,2.392
2481.365,72.981,4.359,62.899,2.393
2481.702,72.981,4.367,62.897,2.403
2482.038,72.981,4.376,62.896,2.417
2482.375,72.981,4.381,62.896,2.429
2482.711,72.982,4.382,62.898,2.435
2483.047,72.983,4.378,62.899,2.433
2483.384,72.983,4.372,62.900,2.426
2483.720,72.982,4.367,62.899,2.418
2484.057,72.982,4.365,62.899,2.413
2484.394,72.981,4.367,62.898,2.413
2484.730,72.981,4.372,62.897,2.417
2485.066,72.981,4.376,62.897,2.422
2485.403,72.982,4.378,62.898,2.427
2485.739,72.984,4.377,62.899,2.429
2486.076,72.984,4.373,62.900,2.428
2486.412,72.985,4.369,62.901,2.425
2486.749,72.985,4.367,62.901,2.423
2487.085,72.985,4.368,62.901,2.423
2487.421,72.985,4.371,62.902,2.424
2487.758,72.986,4.373,62.902,2.424
2488.094,72.987,4.373,62.903,2.424
2488.431,72.987,4.371,62.903,2.422
2488.767,72.987,4.371,62.902,2.421
2489.104,72.987,4.373,62.902,2.422
2489.440,72.987,4.379,62.901,2.425
2489.777,72.988,4.384,62.900,2.429
2490.113,72.988,4.385,62.900,2.433
2490.450,72.989,4.382,62.900,2.435
2490.786,72.988,4.376,62.899,2.436
2491.123,72.987,4.371,62.898,2.437
2491.459,72.985,4.373,62.897,2.440
2491.795,72.984,4.380,62.896,2.447
2492.132,72.983,4.392,62.895,2.456
2492.468,72.983,4.401,62.895,2.468
2492.805,72.984,4.406,62.896,2.478
2493.141,72.984,4.406,62.897,2.484
2493.478,72.984,4.404,62.899,2.484
2493.814,72.983,4.403,62.901,2.478
2494.150,72.983,4.403,62.903,2.467
2494.487,72.983,4.403,62.903,2.454
2494.823,72.983,4.402,62.903,2.441
2495.160,72.982,4.398,62.901,2.434
2495.497,72.981,4.396,62.900,2.434
2495.833,72.979,4.401,62.900,2.439
2496.169,72.978,4.414,62.900,2.447
2496.506,72.978,4.432,62.901,2.451
2496.842,72.980,4.446,62.903,2.452
2497.179,72.983,4.451,62.904,2.448
2497.515,72.986,4.444,62.904,2.444
2497.852,72.987,4.430,62.903,2.443
2498.188,72.986,4.417,62.903,2.446
2498.524,72.985,4.415,62.903,2.451
2498.861,72.983,4.423,62.903,2.455
2499.197,72.983,4.437,62.903,2.458
2499.534,72.984,4.449,62.902,2.461
2499.870,72.986,4.452,62.901,2.466
2500.207,72.987,4.448,62.900,2.476
2500.543,72.988,4.441,62.900,2.489
2500.880,72.986,4.438,62.900,2.502
2501.216,72.985,4.442,62.902,2.509
2501.553,72.985,4.451,62.903,2.506
2501.889,72.985,4.460,62.903,2.497
2502.226,72.986,4.463,62.903,2.486
2502.562,72.987,4.459,62.901,2.479
2502.898,72.987,4.451,62.898,2.477
2503.235,72.986,4.445,62.896,2.482
2503.571,72.984,4.445,62.895,2.490
2503.908,72.982,4.451,62.894,2.497
2504.244,72.982,4.460,62.894,2.502
2504.581,72.982,4.467,62.894,2.505
2504.917,72.983,4.471,62.895,2.505
2505.253,72.983,4.470,62.895,2.503
2505.590,72.984,4.466,62.895,2.498
2505.927,72.984,4.462,62.895,2.494
2506.263,72.984,4.458,62.894,2.491
2506.600,72.984,4.455,62.893,2.493
2506.936,72.983,4.452,62.893,2.499
2507.272,72.983,4.451,62.893,2.507
2507.609,72.982,4.452,62.895,2.513
2507.945,72.982,4.457,62.896,2.513
2508.282,72.982,4.463,62.897,2.506
2508.618,72.984,4.466,62.897,2.499
2508.955,72.985,4.464,62.896,2.497
2509.291,72.985,4.457,62.894,2.504
2509.627,72.985,4.448,62.893,2.519
2509.964,72.983,4.444,62.894,2.536
2510.300,72.981,4.450,62.897,2.546
2510.637,72.980,4.464,62.899,2.545
2510.973,72.980,4.483,62.901,2.533
2511.310,72.982,4.497,62.901,2.517
2511.646,72.984,4.502,62.899,2.507
2511.983,72.986,4.498,62.896,2.509
2512.319,72.986,4.489,62.894,2.522
2512.656,72.985,4.485,62.893,2.540
2512.992,72.983,4.490,62.895,2.555
2513.329,72.982,4.502,62.897,2.560
2513.665,72.983,4.515,62.898,2.556
2514.001,72.985,4.521,62.899,2.547
2514.338,72.987,4.517,62.899,2.541
2514.674,72.987,4.505,62.898,2.542
2515.011,72.987,4.494,62.898,2.547
2515.347,72.985,4.490,62.898,2.554
2515.684,72.983,4.495,62.900,2.555
2516.020,72.983,4.504,62.901,2.551
2516.356,72.984,4.511,62.901,2.542
2516.693,72.985,4.510,62.901,2.534
2517.030,72.985,4.505,62.900,2.531
2517.366,72.984,4.499,62.898,2.534
2517.703,72.983,4.500,62.898,2.542
2518.039,72.982,4.508,62.898,2.550
2518.375,72.982,4.520,62.898,2.556
2518.712,72.984,4.528,62.899,2.559
2519.048,72.986,4.528,62.899,2.559
2519.385,72.987,4.518,62.899,2.558
2519.721,72.987,4.506,62.898,2.557
2520.058,72.986,4.499,62.898,2.559
2520.394,72.984,4.500,62.897,2.562
2520.730,72.983,4.509,62.896,2.568
2521.067,72.983,4.518,62.895,2.577
2521.403,72.984,4.523,62.896,2.584
2521.740,72.985,4.522,62.897,2.588
2522.077,72.985,4.518,62.898,2.586
2522.413,72.984,4.514,62.898,2.577
2522.750,72.983,4.515,62.897,2.566
2523.086,72.983,4.520,62.896,2.558
2523.422,72.983,4.526,62.893,2.559
2523.759,72.983,4.528,62.891,2.569
2524.095,72.984,4.528,62.890,2.586
2524.432,72.984,4.525,62.891,2.603
2524.768,72.984,4.523,62.893,2.613
2525.104,72.984,4.524,62.895,2.614
2525.441,72.984,4.526,62.897,2.608
2525.777,72.985,4.527,62.898,2.600
2526.114,72.986,4.524,62.898,2.593
2526.450,72.986,4.519,62.898,2.589
2526.787,72.986,4.514,62.897,2.590
2527.123,72.985,4.513,62.897,2.594
2527.460,72.985,4.518,62.897,2.600
2527.796,72.985,4.526,62.897,2.606
2528.133,72.986,4.533,62.897,2.612
2528.469,72.987,4.535,62.898,2.618
2528.806,72.988,4.532,62.898,2.622
2529.142,72.988,4.526,62.898,2.626
2529.479,72.987,4.522,62.898,2.630
2529.815,72.986,4.523,62.898,2.638
2530.151,72.985,4.529,62.898,2.648
2530.488,72.985,4.537,62.899,2.657
2530.824,72.985,4.543,62.901,2.661
2531.161,72.985,4.546,62.903,2.655
2531.497,72.985,4.547,62.904,2.641
2531.833,72.985,4.546,62.903,2.624
2532.170,72.984,4.547,62.900,2.613
2532.506,72.984,4.549,62.897,2.614
2532.843,72.983,4.552,62.895,2.628
2533.180,72.983,4.555,62.894,2.647
2533.516,72.983,4.556,62.896,2.660
2533.853,72.983,4.556,62.898,2.660
2534.189,72.983,4.555,62.899,2.647
2534.525,72.982,4.554,62.899,2.631
2534.862,72.982,4.552,62.896,2.622
2535.198,72.981,4.550,62.894,2.627
2535.535,72.980,4.550,62.893,2.642
2535.871,72.980,4.554,62.894,2.657
2536.208,72.979,4.563,62.896,2.661
2536.544,72.979,4.575,62.898,2.651
2536.880,72.980,4.586,62.899,2.632
2537.217,72.983,4.592,62.897,2.617
2537.553,72.985,4.592,62.894,2.617
2537.890,72.987,4.585,62.891,2.633
2538.227,72.988,4.574,62.891,2.657
2538.563,72.988,4.563,62.893,2.677
2538.899,72.987,4.555,62.896,2.684
2539.236,72.986,4.553,62.898,2.676
2539.572,72.984,4.557,62.899,2.663
2539.909,72.983,4.567,62.898,2.652
2540.245,72.983,4.579,62.896,2.651
2540.582,72.983,4.591,62.895,2.658
2540.918,72.984,4.601,62.894,2.669
2541.254,72.985,4.607,62.894,2.677
2541.591,72.985,4.609,62.895,2.682
2541.927,72.986,4.609,62.895,2.684
2542.264,72.985,4.611,62.894,2.686
2542.600,72.985,4.616,62.894,2.691
2542.937,72.985,4.622,62.894,2.695
2543.273,72.986,4.627,62.894,2.699
2543.610,72.986,4.628,62.895,2.700
2543.946,72.987,4.624,62.895,2.699
2544.283,72.987,4.619,62.894,2.700
2544.619,72.986,4.614,62.894,2.703
2544.956,72.985,4.611,62.895,2.706
2545.292,72.984,4.611,62.895,2.708
2545.628,72.983,4.613,62.897,2.706
2545.965,72.982,4.615,62.897,2.700
2546.301,72.981,4.620,62.898,2.693
2546.638,72.981,4.627,62.897,2.688
2546.974,72.980,4.638,62.897,2.687
2547.311,72.981,4.650,62.897,2.690
2547.647,72.983,4.659,62.898,2.692
2547.983,72.985,4.659,62.898,2.692
2548.320,72.987,4.652,62.899,2.689
2548.656,72.988,4.640,62.899,2.684
2548.993,72.988,4.630,62.898,2.683
2549.330,72.987,4.625,62.897,2.687
2549.666,72.986,4.626,62.897,2.698
2550.002,72.986,4.630,62.897,2.713
2550.339,72.987,4.632,62.898,2.727
2550.675,72.988,4.630,62.900,2.736
2551.012,72.988,4.623,62.901,2.737
2551.348,72.988,4.615,62.902,2.732
2551.685,72.987,4.609,62.902,2.725
2552.021,72.985,4.609,62.901,2.723
2552.357,72.984,4.614,62.899,2.728
2552.694,72.983,4.623,62.897,2.740
2553.030,72.982,4.634,62.897,2.756
2553.367,72.982,4.646,62.897,2.768
2553.703,72.983,4.656,62.898,2.774
2554.040,72.985,4.662,62.899,2.771
2554.376,72.986,4.662,62.900,2.764
2554.713,72.987,4.656,62.899,2.757
2555.049,72.987,4.649,62.897,2.753
2555.386,72.985,4.644,62.896,2.754
2555.722,72.983,4.648,62.896,2.757
2556.059,72.982,4.661,62.895,2.757
2556.395,72.982,4.680,62.895,2.755
2556.731,72.984,4.695,62.895,2.750
2557.068,72.986,4.701,62.894,2.747
2557.404,72.989,4.693,62.893,2.748
2557.741,72.990,4.676,62.893,2.754
2558.077,72.988,4.661,62.893,2.761
2558.414,72.986,4.655,62.895,2.766
2558.750,72.983,4.662,62.896,2.763
2559.086,72.982,4.678,62.898,2.753
2559.423,72.983,4.695,62.898,2.740
2559.760,72.985,4.704,62.896,2.731
2560.096,72.987,4.701,62.894,2.733
2560.433,72.988,4.689,62.892,2.747
2560.769,72.988,4.676,62.892,2.769
2561.105,72.987,4.668,62.893,2.791
2561.442,72.985,4.667,62.896,2.805
2561.778,72.984,4.671,62.899,2.809
2562.115,72.984,4.676,62.901,2.804
2562.451,72.984,4.679,62.902,2.797
2562.788,72.984,4.679,62.901,2.793
2563.124,72.983,4.680,62.901,2.795
2563.460,72.983,4.683,62.900,2.800
2563.797,72.982,4.689,62.901,2.805
2564.133,72.983,4.694,62.901,2.806
2564.470,72.983,4.697,62.901,2.802
2564.806,72.983,4.697,62.901,2.797
2565.143,72.983,4.695,62.899,2.794
2565.479,72.983,4.695,62.898,2.795
2565.816,72.982,4.698,62.897,2.800
2566.152,72.982,4.704,62.896,2.807
2566.489,72.982,4.711,62.896,2.811
2566.825,72.983,4.715,62.896,2.812
2567.162,72.984,4.715,62.896,2.810
2567.498,72.985,4.712,62.896,2.809
2567.834,72.985,4.709,62.895,2.809
2568.171,72.984,4.707,62.895,2.810
2568.507,72.984,4.707,62.895,2.812
2568.844,72.984,4.708,62.895,2.813
2569.180,72.985,4.708,62.895,2.814
2569.517,72.985,4.705,62.895,2.816
2569.853,72.985,4.701,62.895,2.818
2570.189,72.985,4.698,62.896,2.822
2570.526,72.984,4.697,62.896,2.824
2570.863,72.983,4.699,62.897,2.823
2571.199,72.983,4.704,62.898,2.819
2571.536,72.984,4.708,62.899,2.814
2571.872,72.984,4.711,62.899,2.809
2572.208,72.985,4.710,62.898,2.806
2572.545,72.986,4.707,62.898,2.806
2572.881,72.986,4.703,62.897,2.808
2573.218,72.986,4.701,62.897,2.809
2573.554,72.986,4.698,62.897,2.810
2573.891,72.986,4.697,62.897,2.811
2574.227,72.985,4.696,62.896,2.813
2574.563,72.985,4.696,62.895,2.817
2574.900,72.984,4.699,62.895,2.823
2575.236,72.983,4.705,62.895,2.830
2575.573,72.983,4.713,62.895,2.837
2575.910,72.983,4.719,62.895,2.842
2576.246,72.984,4.723,62.895,2.845
2576.583,72.984,4.723,62.895,2.848
2576.919,72.984,4.723,62.896,2.852
2577.255,72.984,4.724,62.896,2.856
2577.592,72.983,4.730,62.897,2.859
2577.928,72.983,4.737,62.898,2.859
2578.265,72.984,4.743,62.899,2.855
2578.601,72.985,4.746,62.899,2.848
2578.938,72.986,4.744,62.898,2.841
2579.274,72.986,4.740,62.897,2.838
2579.610,72.986,4.738,62.896,2.842
2579.947,72.986,4.739,62.895,2.851
2580.283,72.986,4.744,62.895,2.864
2580.620,72.986,4.747,62.896,2.876
2580.956,72.988,4.745,62.898,2.883
2581.293,72.988,4.737,62.900,2.883
2581.629,72.988,4.726,62.901,2.877
2581.966,72.987,4.719,62.902,2.867
2582.302,72.985,4.719,62.903,2.857
2582.639,72.983,4.727,62.902,2.848
2582.975,72.982,4.741,62.901,2.843
2583.312,72.983,4.753,62.900,2.841
2583.648,72.984,4.761,62.899,2.842
2583.984,72.985,4.762,62.898,2.845
2584.321,72.986,4.758,62.897,2.850
2584.657,72.985,4.755,62.896,2.858
2584.994,72.985,4.755,62.896,2.868
2585.330,72.984,4.759,62.896,2.876
2585.667,72.984,4.766,62.897,2.881
2586.003,72.984,4.772,62.898,2.883
2586.339,72.986,4.773,62.898,2.881
2586.676,72.987,4.769,62.897,2.879
2587.013,72.987,4.759,62.896,2.881
2587.349,72.986,4.749,62.896,2.886
2587.686,72.984,4.745,62.895,2.894
2588.022,72.981,4.749,62.896,2.900
2588.358,72.979,4.763,62.896,2.903
2588.695,72.979,4.783,62.897,2.901
2589.031,72.981,4.800,62.897,2.896
2589.368,72.983,4.808,62.896,2.892
2589.704,72.986,4.804,62.895,2.892
2590.041,72.987,4.792,62.894,2.897
2590.377,72.987,4.779,62.893,2.905
2590.713,72.986,4.772,62.894,2.914
2591.050,72.984,4.775,62.894,2.919
2591.386,72.983,4.784,62.895,2.920
2591.723,72.984,4.794,62.896,2.918
2592.060,72.985,4.798,62.897,2.913
2592.396,72.986,4.796,62.896,2.908
2592.732,72.986,4.789,62.896,2.904
2593.069,72.985,4.786,62.895,2.903
2593.405,72.983,4.790,62.894,2.906
2593.742,72.982,4.800,62.893,2.914
2594.078,72.983,4.812,62.893,2.924
2594.415,72.984,4.821,62.893,2.935
2594.751,72.985,4.823,62.894,2.943
2595.087,72.987,4.817,62.896,2.945
2595.424,72.987,4.808,62.897,2.943
2595.760,72.986,4.801,62.897,2.939
2596.097,72.985,4.798,62.897,2.937
2596.433,72.984,4.801,62.896,2.938
2596.770,72.983,4.807,62.896,2.943
2597.106,72.984,4.812,62.896,2.949
2597.443,72.985,4.813,62.897,2.953
2597.779,72.986,4.810,62.898,2.954
2598.116,72.986,4.801,62.898,2.952
2598.452,72.986,4.790,62.898,2.950
2598.789,72.984,4.783,62.898,2.949
2599.125,72.982,4.783,62.898,2.949
2599.461,72.981,4.791,62.897,2.951
2599.798,72.980,4.806,62.897,2.951
2600.134,72.982,4.821,62.897,2.951
2600.471,72.984,4.829,62.896,2.952
2600.807,72.986,4.827,62.895,2.957
2601.144,72.988,4.817,62.895,2.967
2601.480,72.988,4.806,62.895,2.979
2601.816,72.987,4.799,62.896,2.988
2602.153,72.986,4.800,62.898,2.991
2602.489,72.986,4.805,62.900,2.985
2602.826,72.986,4.811,62.900,2.973
2603.163,72.986,4.814,62.899,2.961
2603.499,72.986,4.815,62.896,2.958
2603.835,72.985,4.818,62.893,2.967
2604.172,72.985,4.827,62.892,2.986
2604.508,72.984,4.840,62.892,3.007
2604.845,72.986,4.851,62.895,3.021
2605.181,72.987,4.856,62.898,3.020
2605.518,72.989,4.850,62.899,3.007
2605.854,72.989,4.840,62.899,2.988
2606.190,72.988,4.832,62.897,2.974
2606.527,72.985,4.833,62.893,2.972
2606.863,72.984,4.844,62.891,2.984
2607.200,72.983,4.859,62.890,3.002
2607.536,72.985,4.870,62.891,3.019
2607.873,72.986,4.872,62.893,3.025
2608.209,72.987,4.864,62.895,3.021
2608.546,72.987,4.854,62.896,3.008
2608.882,72.985,4.851,62.896,2.995
2609.219,72.983,4.858,62.895,2.985
2609.555,72.983,4.872,62.894,2.981
2609.892,72.984,4.885,62.893,2.982
2610.228,72.987,4.888,62.892,2.984
2610.564,72.989,4.878,62.892,2.988
2610.901,72.989,4.859,62.892,2.991
2611.237,72.988,4.842,62.893,2.993
2611.574,72.985,4.834,62.894,2.993
2611.910,72.982,4.841,62.895,2.991
2612.247,72.980,4.860,62.896,2.985
2612.583,72.981,4.880,62.896,2.978
2612.919,72.983,4.892,62.895,2.974
2613.256,72.986,4.892,62.894,2.977
2613.593,72.987,4.881,62.892,2.987
2613.929,72.987,4.867,62.892,3.005
2614.266,72.985,4.859,62.893,3.024
2614.602,72.983,4.862,62.895,3.039
2614.938,72.982,4.874,62.898,3.047
2615.275,72.982,4.889,62.900,3.045
2615.611,72.983,4.900,62.902,3.035
2615.948,72.984,4.904,62.902,3.022
2616.284,72.985,4.902,62.901,3.009
2616.621,72.985,4.900,62.899,3.002
2616.957,72.985,4.900,62.896,3.004
2617.293,72.985,4.904,62.894,3.014
2617.630,72.985,4.910,62.892,3.031
2617.966,72.986,4.913,62.892,3.047
2618.303,72.986,4.912,62.893,3.059
2618.639,72.987,4.909,62.894,3.062
2618.976,72.986,4.906,62.895,3.059
2619.312,72.985,4.907,62.894,3.055
2619.649,72.984,4.912,62.893,3.056
2619.985,72.984,4.919,62.891,3.064
2620.322,72.984,4.926,62.891,3.077
2620.658,72.985,4.930,62.892,3.089
2620.995,72.986,4.932,62.894,3.093
2621.331,72.986,4.932,62.896,3.089
2621.667,72.987,4.930,62.896,3.079
2622.004,72.987,4.925,62.895,3.071
2622.340,72.988,4.918,62.894,3.072
2622.677,72.987,4.911,62.893,3.083
2623.013,72.986,4.905,62.893,3.100
2623.350,72.985,4.902,62.895,3.114
2623.686,72.983,4.904,62.898,3.117
2624.022,72.982,4.909,62.901,3.106
2624.359,72.981,4.916,62.901,3.088
2624.696,72.980,4.925,62.900,3.073
2625.032,72.980,4.934,62.897,3.067
2625.369,72.981,4.942,62.894,3.076
2625.705,72.982,4.949,62.892,3.094
2626.042,72.984,4.952,62.892,3.114
2626.378,72.985,4.951,62.894,3.126
2626.714,72.986,4.945,62.896,3.129
2627.051,72.986,4.938,62.897,3.123
2627.387,72.986,4.933,62.897,3.116
2627.724,72.985,4.934,62.896,3.111
2628.060,72.984,4.941,62.896,3.109
2628.396,72.984,4.950,62.896,3.105
2628.733,72.986,4.956,62.896,3.099
2629.069,72.987,4.957,62.895,3.090
2629.406,72.988,4.952,62.894,3.083
2629.743,72.989,4.944,62.892,3.082
2630.079,72.988,4.937,62.890,3.089
2630.416,72.987,4.935,62.890,3.102
2630.752,72.985,4.938,62.891,3.112
2631.088,72.984,4.947,62.893,3.114
2631.425,72.984,4.957,62.895,3.108
2631.761,72.985,4.965,62.896,3.097
2632.098,72.986,4.969,62.896,3.089
2632.434,72.987,4.968,62.895,3.087
2632.771,72.987,4.963,62.895,3.091
2633.107,72.987,4.955,62.895,3.096
2633.443,72.985,4.949,62.896,3.095
2633.780,72.984,4.949,62.896,3.090
2634.116,72.982,4.956,62.895,3.085
2634.453,72.981,4.967,62.893,3.089
2634.789,72.982,4.976,62.892,3.103
2635.126,72.983,4.980,62.891,3.125
2635.462,72.984,4.978,62.893,3.145
2635.799,72.984,4.971,62.896,3.153
2636.135,72.983,4.967,62.899,3.147
2636.472,72.981,4.968,62.900,3.132
2636.808,72.981,4.977,62.899,3.116
2637.145,72.981,4.987,62.896,3.108
2637.481,72.982,4.994,62.894,3.111
2637.817,72.983,4.995,62.892,3.120
2638.154,72.984,4.989,62.891,3.130
2638.490,72.984,4.983,62.891,3.136
2638.827,72.984,4.980,62.891,3.138
2639.163,72.983,4.983,62.890,3.141
2639.500,72.983,4.990,62.890,3.146
2639.836,72.983,4.997,62.890,3.154
2640.172,72.984,5.002,62.891,3.160
2640.509,72.985,5.002,62.893,3.159
2640.846,72.986,4.999,62.894,3.150
2641.182,72.987,4.995,62.894,3.138
2641.519,72.987,4.989,62.893,3.128
2641.855,72.987,4.983,62.891,3.126
2642.191,72.987,4.979,62.889,3.134
2642.528,72.985,4.976,62.888,3.148
2642.864,72.984,4.979,62.888,3.164
2643.201,72.983,4.988,62.889,3.177
2643.537,72.982,5.000,62.890,3.188
2643.874,72.983,5.013,62.891,3.197
2644.210,72.984,5.023,62.892,3.206
2644.546,72.985,5.026,62.894,3.214
2644.883,72.986,5.024,62.896,3.219
2645.219,72.987,5.021,62.898,3.217
2645.556,72.986,5.020,62.899,3.211
2645.893,72.986,5.022,62.899,3.202
2646.229,72.986,5.026,62.898,3.196
2646.565,72.986,5.028,62.897,3.193
2646.902,72.987,5.027,62.896,3.193
2647.238,72.987,5.024,62.895,3.195
2647.575,72.986,5.023,62.894,3.197
2647.911,72.985,5.026,62.893,3.199
2648.248,72.984,5.033,62.893,3.202
2648.584,72.985,5.042,62.892,3.206
2648.920,72.986,5.046,62.892,3.210
2649.257,72.987,5.043,62.893,3.212
2649.593,72.988,5.032,62.893,3.209
2649.930,72.987,5.019,62.894,3.204
2650.266,72.985,5.010,62.893,3.197
2650.603,72.983,5.009,62.893,3.192
2650.939,72.980,5.019,62.892,3.192
2651.276,72.979,5.036,62.891,3.196
2651.612,72.979,5.055,62.891,3.200
2651.949,72.980,5.071,62.892,3.203
2652.285,72.982,5.080,62.893,3.203
2652.622,72.985,5.081,62.893,3.201
2652.958,72.987,5.075,62.894,3.199
2653.294,72.988,5.063,62.893,3.198
2653.631,72.988,5.050,62.893,3.200
2653.967,72.987,5.038,62.892,3.206
2654.304,72.985,5.033,62.892,3.214
2654.640,72.983,5.035,62.892,3.225
2654.977,72.982,5.042,62.893,3.235
2655.313,72.981,5.052,62.894,3.242
2655.649,72.981,5.061,62.896,3.244
2655.986,72.982,5.067,62.897,3.242
2656.322,72.982,5.070,62.897,3.236
2656.659,72.982,5.072,62.896,3.231
