Frequency,DB(MAG(V(L_OUT))),DB(MAG(V(R_OUT))),PHDEG(V(L_OUT)),PHDEG(V(R_OUT)),
20,-16.13748148509834,-19.09340607430722,0.45623360591514417,-1.8313952661396826,
20.023039110763367,-16.13747560792261,-19.093416327425427,0.4567577323185983,-1.8335035018951742,
20.04610476155798,-16.137469717235753,-19.093426604155013,0.45728245753858954,-1.835614161231349,
20.06919698295678,-16.137463813006786,-19.093436904550284,0.45780778224784135,-1.8377272469227424,
20.092315805567896,-16.13745789520467,-19.0934472286657,0.45833370711979254,-1.8398427617470274,
20.115461260034756,-16.137451963798288,-19.093457576555807,0.4588602328285997,-1.8419607084850156,
20.138633377036072,-16.13744601875645,-19.093467948275304,0.459387360049136,-1.8440810899206637,
20.161832187285906,-16.137440060047897,-19.093478343879017,0.4599150894569935,-1.8462039088410744,
20.18505772153368,-16.1374340876413,-19.09348876342188,0.460443421728482,-1.8483291680364993,
20.208310010564258,-16.137428101505254,-19.093499206958963,0.46097235754063093,-1.8504568703003437,
20.231589085197957,-16.137422101608294,-19.09350967454547,0.4615018975711895,-1.8525870184291708,
20.254894976290615,-16.13741608791887,-19.09352016623671,0.4620320424986278,-1.854719615222705,
20.278227714733582,-16.13741006040537,-19.093530682088147,0.46256279300213654,-1.85685466348383,
20.301587331453817,-16.1374040190361,-19.09354122215535,0.4630941497616282,-1.8589921660186013,
20.3249738574139,-16.137397963779296,-19.093551786494015,0.463626113457738,-1.8611321256362419,
20.348387323612094,-16.137391894603137,-19.09356237515999,0.4641586847718241,-1.8632745451491526,
20.371827761082333,-16.13738581147571,-19.093572988209225,0.46469186438596755,-1.865419427372906,
20.39529520089433,-16.137379714365032,-19.09358362569781,0.4652256529829747,-1.8675667751262595,
20.418789674153587,-16.13737360323906,-19.093594287681967,0.46576005124637604,-1.8697165912311553,
20.442311212001442,-16.137367478065663,-19.093604974218042,0.46629505986042796,-1.8718688785127227,
20.465859845615075,-16.137361338812646,-19.093615685362504,0.46683067951011237,-1.8740236397992793,
20.489435606207618,-16.137355185447745,-19.093626421171965,0.46736691088113885,-1.8761808779223412,
20.51303852502814,-16.137349017938604,-19.09363718170316,0.467903754659943,-1.878340595716621,
20.536668633361725,-16.137342836252813,-19.093647967012945,0.46844121153369017,-1.880502796020034,
20.56032596252946,-16.137336640357873,-19.093658777158335,0.46897928219027235,-1.8826674816736986,
20.584010543888553,-16.137330430221223,-19.093669612196443,0.46951796731831213,-1.8848346555219442,
20.60772240883231,-16.13732420581022,-19.093680472184523,0.4700572676071613,-1.8870043204123093,
20.63146158879022,-16.137317967092155,-19.09369135717998,0.47059718374690335,-1.889176479195553,
20.655228115227942,-16.13731171403423,-19.093702267240324,0.47113771642835034,-1.891351134725646,
20.679022019647416,-16.137305446603587,-19.09371320242321,0.47167886634304856,-1.8935282898597876,
20.702843333586863,-16.13729916476729,-19.09372416278643,0.4722206341832752,-1.8957079474584015,
20.72669208862084,-16.137292868492313,-19.09373514838789,0.4727630206420414,-1.8978901103851409,
20.750568316360244,-16.13728655774558,-19.093746159285647,0.4733060264130907,-1.9000747815068892,
20.774472048452424,-16.137280232493918,-19.09375719553789,0.47384965219090186,-1.9022619636937705,
20.798403316581172,-16.137273892704094,-19.093768257202928,0.47439389867068804,-1.9044516598191459,
20.822362152466784,-16.137267538342787,-19.093779344339225,0.474938766548398,-1.9066438727596229,
20.846348587866075,-16.137261169376604,-19.09379045700536,0.4754842565207162,-1.9088386053950512,
20.870362654572464,-16.137254785772086,-19.093801595260047,0.4760303692850644,-1.9110358606085356,
20.89440438441599,-16.137248387495678,-19.093812759162144,0.4765771055396011,-1.9132356412864329,
20.918473809263364,-16.13724197451377,-19.09382394877065,0.4771244659832237,-1.915437950318359,
20.942570961017985,-16.13723554679266,-19.09383516414468,0.4776724513155667,-1.9176427905971867,
20.966695871620022,-16.137229104298573,-19.0938464053435,0.47822106223700483,-1.9198501650190578,
20.99084857304643,-16.137222646997664,-19.093857672426513,0.47877029944865257,-1.9220600764833806,
