Frequency (Hz),Magnitude (dB),
367.410278,-9.595097,
368.756104,-9.581244,
370.101929,-9.567743,
371.447754,-9.553846,
372.793579,-9.540295,
374.139404,-9.526351,
375.485229,-9.512760,
376.831055,-9.498775,
378.176880,-9.485140,
379.522705,-9.471113,
380.868530,-9.457436,
382.214355,-9.443371,
383.560181,-9.429649,
384.906006,-9.415543,
386.251831,-9.401787,
387.597656,-9.387644,
388.943481,-9.373853,
390.289307,-9.359664,
391.635132,-9.345830,
392.980957,-9.331614,
394.326782,-9.317740,
395.672607,-9.303488,
397.018433,-9.289577,
398.364258,-9.275289,
399.710083,-9.261345,
401.055908,-9.247022,
402.401733,-9.233042,
403.747559,-9.218685,
405.093384,-9.204671,
406.439209,-9.190278,
407.785034,-9.176231,
409.130859,-9.161812,
410.476685,-9.147729,
411.822510,-9.133272,
413.168335,-9.119159,
414.514160,-9.104676,
415.859985,-9.090526,
417.205811,-9.076014,
418.551636,-9.061831,
419.897461,-9.047289,
421.243286,-9.033077,
422.589111,-9.018503,
423.934937,-9.004260,
425.280762,-8.989664,
426.626587,-8.975389,
427.972412,-8.960761,
429.318237,-8.946460,
430.664062,-8.931806,
432.009888,-8.917473,
433.355713,-8.902795,
434.701538,-8.888433,
436.047363,-8.873725,
437.393188,-8.859342,
438.739014,-8.844604,
440.084839,-8.830194,
441.430664,-8.815439,
442.776489,-8.800998,
444.122314,-8.786221,
445.468140,-8.771759,
446.813965,-8.756956,
448.159790,-8.742468,
449.505615,-8.727644,
450.851440,-8.713134,
452.197266,-8.698292,
453.543091,-8.683762,
454.888916,-8.668896,
456.234741,-8.654345,
457.580566,-8.639464,
458.926392,-8.624893,
460.272217,-8.609992,
461.618042,-8.595405,
462.963867,-8.580492,
464.309692,-8.565883,
465.655518,-8.550958,
467.001343,-8.536331,
468.347168,-8.521395,
469.692993,-8.506754,
471.038818,-8.491804,
472.384644,-8.477154,
473.730469,-8.462196,
475.076294,-8.447534,
476.422119,-8.432564,
477.767944,-8.417894,
479.113770,-8.402924,
480.459595,-8.388241,
481.805420,-8.373264,
483.151245,-8.358582,
484.497070,-8.343597,
485.842896,-8.328913,
487.188721,-8.313935,
488.534546,-8.299246,
489.880371,-8.284267,
491.226196,-8.269579,
492.572021,-8.254606,
493.917847,-8.239922,
495.263672,-8.224957,
496.609497,-8.210274,
497.955322,-8.195318,
499.301147,-8.180649,
500.646973,-8.165703,
501.992798,-8.151043,
503.338623,-8.136110,
504.684448,-8.121464,
506.030273,-8.106553,
507.376099,-8.091922,
508.721924,-8.077029,
510.067749,-8.062420,
511.413574,-8.047551,
512.759399,-8.032958,
514.105225,-8.018121,
515.451050,-8.003554,
516.796875,-7.988742,
518.142700,-7.974207,
519.488525,-7.959430,
520.834351,-7.944926,
522.180176,-7.930184,
523.526001,-7.915716,
524.871826,-7.901012,
526.217651,-7.886588,
527.563477,-7.871928,
528.909302,-7.857545,
530.255127,-7.842934,
531.600952,-7.828597,
532.946777,-7.814037,
534.292603,-7.799749,
535.638428,-7.785246,
536.984253,-7.771013,
538.330078,-7.756569,
539.675903,-7.742399,
541.021729,-7.728018,
542.367554,-7.713905,
543.713379,-7.699596,
545.059204,-7.685552,
546.405029,-7.671309,
547.750854,-7.657339,
549.096680,-7.643176,
550.442505,-7.629282,
551.788330,-7.615199,
553.134155,-7.601384,
554.479980,-7.587391,
555.825806,-7.573658,
557.171631,-7.559752,
558.517456,-7.546114,
559.863281,-7.532305,
561.209106,-7.518760,
562.554932,-7.505048,
563.900757,-7.491599,
565.246582,-7.477996,
566.592407,-7.464652,
567.938232,-7.451158,
569.284058,-7.437922,
570.629883,-7.424541,
571.975708,-7.411421,
573.321533,-7.398156,
574.667358,-7.385158,
576.013184,-7.372018,
577.359009,-7.359141,
578.704834,-7.346130,
580.050659,-7.333379,
581.396484,-7.320507,
582.742310,-7.307892,
584.088135,-7.295153,
585.433960,-7.282677,
586.779785,-7.270083,
588.125610,-7.257751,
589.471436,-7.245306,
590.817261,-7.233121,
592.163086,-7.220829,
593.508911,-7.208798,
594.854736,-7.196663,
596.200562,-7.184790,
597.546387,-7.172823,
598.892212,-7.161107,
600.238037,-7.149307,
601.583862,-7.137763,
602.929688,-7.126134,
604.275513,-7.114761,
605.621338,-7.103310,
606.967163,-7.092113,
608.312988,-7.080844,
609.658813,-7.069827,
611.004639,-7.058742,
