Frequency (Hz),Magnitude (dB),
12.112427,-1.019858,
13.458252,-0.995415,
14.804077,-0.968567,
16.149902,-0.939557,
17.495728,-0.908749,
18.841553,-0.876629,
20.187378,-0.843815,
21.533203,-0.811049,
22.879028,-0.779165,
24.224854,-0.749066,
25.570679,-0.721659,
26.916504,-0.697799,
28.262329,-0.678230,
29.608154,-0.663529,
30.953979,-0.654072,
32.299805,-0.650015,
33.645630,-0.651318,
34.991455,-0.657743,
36.337280,-0.668925,
37.683105,-0.684397,
39.028931,-0.703642,
40.374756,-0.726130,
41.720581,-0.751347,
43.066406,-0.778824,
44.412231,-0.808139,
45.758057,-0.838935,
47.103882,-0.870912,
48.449707,-0.903826,
49.795532,-0.937490,
51.141357,-0.971761,
52.487183,-1.006533,
53.833008,-1.041738,
55.178833,-1.077332,
56.524658,-1.113295,
57.870483,-1.149624,
59.216309,-1.186329,
60.562134,-1.223437,
61.907959,-1.260970,
63.253784,-1.298969,
64.599609,-1.337467,
65.945435,-1.376511,
67.291260,-1.416140,
68.637085,-1.456397,
69.982910,-1.497326,
71.328735,-1.538967,
72.674561,-1.581359,
74.020386,-1.624541,
75.366211,-1.668545,
76.712036,-1.713409,
78.057861,-1.759158,
79.403687,-1.805820,
80.749512,-1.853418,
82.095337,-1.901974,
83.441162,-1.951504,
84.786987,-2.002023,
86.132812,-2.053537,
87.478638,-2.106059,
88.824463,-2.159587,
90.170288,-2.214124,
91.516113,-2.269663,
92.861938,-2.326200,
94.207764,-2.383723,
95.553589,-2.442216,
96.899414,-2.501661,
98.245239,-2.562044,
99.591064,-2.623333,
100.936890,-2.685507,
102.282715,-2.748534,
103.628540,-2.812380,
104.974365,-2.877012,
106.320190,-2.942393,
107.666016,-3.008482,
109.011841,-3.075239,
110.357666,-3.142615,
111.703491,-3.210572,
113.049316,-3.279053,
114.395142,-3.348019,
115.740967,-3.417414,
117.086792,-3.487191,
118.432617,-3.557296,
119.778442,-3.627678,
121.124268,-3.698285,
122.470093,-3.769063,
123.815918,-3.839957,
125.161743,-3.910920,
126.507568,-3.981898,
127.853394,-4.052832,
129.199219,-4.123681,
130.545044,-4.194390,
131.890869,-4.264909,
133.236694,-4.335190,
134.582520,-4.405185,
135.928345,-4.474850,
137.274170,-4.544137,
138.619995,-4.613005,
139.965820,-4.681410,
141.311646,-4.749317,
142.657471,-4.816682,
144.003296,-4.883471,
145.349121,-4.949646,
146.694946,-5.015180,
148.040771,-5.080031,
149.386597,-5.144178,
150.732422,-5.207591,
152.078247,-5.270242,
153.424072,-5.332108,
154.769897,-5.393164,
156.115723,-5.453391,
157.461548,-5.512772,
158.807373,-5.571282,
160.153198,-5.628916,
161.499023,-5.685650,
162.844849,-5.741480,
164.190674,-5.796385,
165.536499,-5.850364,
166.882324,-5.903406,
168.228149,-5.955504,
169.573975,-6.006654,
170.919800,-6.056849,
172.265625,-6.106090,
173.611450,-6.154369,
174.957275,-6.201693,
176.303101,-6.248062,
177.648926,-6.293473,
178.994751,-6.337930,
180.340576,-6.381437,
181.686401,-6.424001,
183.032227,-6.465624,
184.378052,-6.506315,
185.723877,-6.546073,
187.069702,-6.584918,
188.415527,-6.622845,
189.761353,-6.659872,
191.107178,-6.696007,
192.453003,-6.731252,
193.798828,-6.765626,
195.144653,-6.799133,
196.490479,-6.831792,
197.836304,-6.863606,
199.182129,-6.894588,
200.527954,-6.924754,
201.873779,-6.954110,
203.219604,-6.982675,
204.565430,-7.010456,
205.911255,-7.037466,
207.257080,-7.063720,
208.602905,-7.089231,
209.948730,-7.114007,
211.294556,-7.138068,
212.640381,-7.161425,
213.986206,-7.184085,
215.332031,-7.206064,
216.677856,-7.227382,
218.023682,-7.248042,
219.369507,-7.268064,
220.715332,-7.287454,
222.061157,-7.306233,
223.406982,-7.324405,
224.752808,-7.341990,
226.098633,-7.358994,
227.444458,-7.375436,
228.790283,-7.391321,
230.136108,-7.406668,
231.481934,-7.421483,
232.827759,-7.435783,
234.173584,-7.449574,
235.519409,-7.462876,
236.865234,-7.475690,
238.211060,-7.488035,
239.556885,-7.499919,
240.902710,-7.511352,
242.248535,-7.522348,
243.594360,-7.532913,
244.940186,-7.543056,
246.286011,-7.552800,
