Freq(Hz),SPL(dB),Phase(degrees)
22.449,63.158,3.986
25.198,63.163,3.906
28.284,63.171,3.786
31.748,63.183,3.642
35.636,63.199,3.489
40.000,63.218,3.336
44.898,63.242,3.186
50.397,63.269,3.038
56.569,63.299,2.889
63.496,63.333,2.732
71.272,63.369,2.558
80.000,63.406,2.359
89.797,63.444,2.128
100.794,63.480,1.860
113.137,63.514,1.552
126.992,63.543,1.203
142.544,63.566,0.818
160.000,63.580,0.404
179.594,63.584,-0.028
201.587,63.578,-0.463
226.274,63.561,-0.887
253.984,63.534,-1.286
285.088,63.499,-1.645
320.000,63.456,-1.955
359.188,63.408,-2.208
403.175,63.356,-2.399
452.548,63.304,-2.529
507.968,63.252,-2.599
570.175,63.202,-2.612
640.000,63.156,-2.572
718.376,63.113,-2.482
806.349,63.076,-2.343
905.097,63.043,-2.154
1015.937,63.015,-1.908
1140.350,62.991,-1.597
1280.000,62.971,-1.207
1436.751,62.954,-0.721
1612.699,62.940,-0.119
1810.193,62.928,0.619
2031.873,62.919,1.509
2280.701,62.911,2.557
2560.000,62.904,3.755
2873.503,62.898,5.071
3225.398,62.894,6.449
3620.387,62.890,7.803
4063.747,62.887,9.030
4561.401,62.884,10.020
5120.000,62.881,10.669
5747.006,62.879,10.891
6450.796,62.876,10.608
7240.773,62.873,9.710
8127.493,62.870,8.001
9122.803,62.865,5.167
10240.000,62.858,0.798
11494.012,62.849,-5.468
12901.592,62.838,-13.708
14481.547,62.824,-23.435
16254.986,62.810,-33.438
18245.605,62.798,-41.900
