* Freq(Hz), SPL(dB), Phase(degrees)
1423.661, -3.991, 6.930
1424.028, -3.991, 6.931
1424.394, -3.991, 6.932
1424.760, -3.991, 6.932
1425.126, -3.991, 6.933
1425.492, -3.991, 6.934
1425.859, -3.991, 6.934
1426.225, -3.991, 6.935
1426.591, -3.991, 6.936
1426.957, -3.991, 6.936
1427.323, -3.991, 6.937
1427.690, -3.991, 6.938
1428.056, -3.991, 6.938
1428.422, -3.991, 6.939
1428.788, -3.991, 6.939
1429.155, -3.991, 6.939
1429.521, -3.991, 6.940
1429.887, -3.991, 6.941
1430.253, -3.991, 6.941
1430.619, -3.991, 6.942
1430.986, -3.990, 6.943
1431.352, -3.990, 6.944
1431.718, -3.990, 6.944
1432.084, -3.990, 6.945
1432.450, -3.990, 6.945
1432.817, -3.990, 6.945
1433.183, -3.990, 6.946
1433.549, -3.990, 6.947
1433.915, -3.990, 6.948
1434.282, -3.990, 6.948
1434.648, -3.990, 6.949
1435.014, -3.990, 6.949
1435.380, -3.990, 6.950
1435.746, -3.990, 6.951
1436.113, -3.990, 6.951
1436.479, -3.990, 6.952
1436.845, -3.990, 6.953
1437.211, -3.990, 6.953
1437.578, -3.990, 6.954
1437.944, -3.990, 6.954
1438.310, -3.990, 6.955
1438.676, -3.990, 6.955
1439.042, -3.990, 6.956
1439.409, -3.990, 6.956
1439.775, -3.990, 6.957
1440.141, -3.990, 6.958
1440.507, -3.990, 6.959
1440.873, -3.990, 6.959
1441.240, -3.990, 6.960
1441.606, -3.990, 6.961
1441.972, -3.990, 6.961
1442.338, -3.990, 6.962
1442.704, -3.990, 6.962
1443.071, -3.990, 6.963
1443.437, -3.990, 6.964
1443.803, -3.990, 6.965
1444.169, -3.990, 6.965
1444.536, -3.990, 6.966
1444.902, -3.990, 6.966
1445.268, -3.990, 6.966
1445.634, -3.990, 6.967
1446.000, -3.990, 6.968
1446.367, -3.990, 6.968
1446.733, -3.989, 6.969
1447.099, -3.989, 6.970
1447.465, -3.989, 6.971
1447.832, -3.989, 6.971
1448.198, -3.989, 6.971
1448.564, -3.989, 6.972
1448.930, -3.989, 6.973
1449.296, -3.989, 6.974
1449.663, -3.989, 6.974
1450.029, -3.989, 6.975
1450.395, -3.989, 6.975
1450.761, -3.989, 6.976
1451.127, -3.989, 6.976
1451.494, -3.989, 6.977
1451.860, -3.989, 6.978
1452.226, -3.989, 6.979
1452.592, -3.989, 6.979
1452.958, -3.989, 6.980
1453.325, -3.989, 6.980
1453.691, -3.989, 6.981
1454.057, -3.989, 6.982
1454.423, -3.989, 6.982
1454.790, -3.989, 6.983
1455.156, -3.989, 6.984
1455.522, -3.989, 6.984
1455.888, -3.989, 6.984
1456.255, -3.989, 6.985
1456.621, -3.989, 6.986
1456.987, -3.989, 6.986
1457.353, -3.989, 6.987
1457.719, -3.989, 6.988
1458.086, -3.989, 6.988
1458.452, -3.989, 6.989
1458.818, -3.989, 6.989
1459.184, -3.989, 6.990
1459.550, -3.989, 6.991
1459.917, -3.989, 6.992
1460.283, -3.989, 6.993
1460.649, -3.989, 6.993
1461.015, -3.989, 6.994
1461.381, -3.989, 6.994
1461.748, -3.989, 6.995
1462.114, -3.989, 6.995
1462.480, -3.988, 6.996
1462.846, -3.988, 6.997
1463.213, -3.988, 6.997
1463.579, -3.988, 6.998
1463.945, -3.988, 6.999
1464.311, -3.988, 6.999
1464.677, -3.988, 7.000
1465.044, -3.988, 7.000
1465.410, -3.988, 7.001
1465.776, -3.988, 7.002
1466.142, -3.988, 7.002
1466.509, -3.988, 7.003
1466.875, -3.988, 7.004
1467.241, -3.988, 7.005
1467.607, -3.988, 7.005
1467.973, -3.988, 7.005
1468.340, -3.988, 7.006
1468.706, -3.988, 7.007
1469.072, -3.988, 7.007
1469.438, -3.988, 7.008
1469.804, -3.988, 7.009
1470.171, -3.988, 7.009
1470.537, -3.988, 7.010
1470.903, -3.988, 7.010
1471.269, -3.988, 7.011
1471.635, -3.988, 7.012
1472.002, -3.988, 7.013
1472.368, -3.988, 7.013
1472.734, -3.988, 7.014
1473.100, -3.988, 7.015
1473.467, -3.988, 7.015
1473.833, -3.988, 7.016
1474.199, -3.988, 7.017
1474.565, -3.988, 7.017
1474.931, -3.988, 7.018
1475.298, -3.988, 7.019
1475.664, -3.988, 7.019
1476.030, -3.988, 7.020
1476.396, -3.988, 7.020
1476.763, -3.988, 7.021
1477.129, -3.988, 7.022
1477.495, -3.988, 7.022
1477.861, -3.988, 7.023
1478.227, -3.988, 7.023
1478.594, -3.988, 7.024
1478.960, -3.988, 7.024
1479.326, -3.988, 7.025
1479.692, -3.988, 7.026
1480.058, -3.988, 7.027
1480.425, -3.987, 7.028
1480.791, -3.987, 7.028
1481.157, -3.987, 7.029
1481.523, -3.987, 7.029
1481.890, -3.987, 7.030
1482.256, -3.987, 7.031
1482.622, -3.987, 7.032
1482.988, -3.987, 7.032
1483.354, -3.987, 7.033
1483.721, -3.987, 7.033
1484.087, -3.987, 7.034
1484.453, -3.987, 7.034
1484.819, -3.987, 7.035
1485.185, -3.987, 7.036
1485.552, -3.987, 7.036
1485.918, -3.987, 7.037
1486.284, -3.987, 7.038
1486.650, -3.987, 7.038
1487.017, -3.987, 7.039
1487.383, -3.987, 7.039
1487.749, -3.987, 7.040
1488.115, -3.987, 7.041
1488.481, -3.987, 7.041
1488.848, -3.987, 7.042
1489.214, -3.987, 7.043
1489.580, -3.987, 7.044
1489.946, -3.987, 7.044
1490.312, -3.987, 7.045
1490.679, -3.987, 7.046
1491.045, -3.987, 7.047
1491.411, -3.987, 7.047
1491.777, -3.987, 7.048
1492.144, -3.987, 7.048
1492.510, -3.987, 7.049
1492.876, -3.987, 7.049
1493.242, -3.987, 7.050
1493.608, -3.987, 7.051
1493.975, -3.987, 7.052
1494.341, -3.987, 7.052
1494.707, -3.987, 7.053
1495.073, -3.987, 7.053
1495.439, -3.987, 7.053
1495.806, -3.987, 7.054
1496.172, -3.987, 7.055
1496.538, -3.987, 7.056
1496.904, -3.987, 7.057
1497.271, -3.986, 7.057
1497.637, -3.986, 7.058
1498.003, -3.986, 7.058
1498.369, -3.987, 7.059
1498.735, -3.987, 7.060
1499.102, -3.986, 7.061
1499.468, -3.986, 7.062
1499.834, -3.986, 7.063
1500.200, -3.986, 7.063
1500.567, -3.986, 7.064
1500.933, -3.986, 7.064
1501.299, -3.986, 7.064
1501.665, -3.986, 7.065
1502.031, -3.986, 7.066
1502.398, -3.986, 7.067
1502.764, -3.986, 7.067
1503.130, -3.986, 7.068
1503.496, -3.986, 7.069
1503.862, -3.986, 7.069
1504.229, -3.986, 7.070
1504.595, -3.986, 7.071
1504.961, -3.986, 7.071
1505.327, -3.986, 7.072
1505.693, -3.986, 7.073
1506.060, -3.986, 7.073
1506.426, -3.986, 7.074
1506.792, -3.986, 7.075
1507.158, -3.986, 7.075
1507.525, -3.986, 7.076
1507.891, -3.986, 7.077
1508.257, -3.986, 7.077
1508.623, -3.986, 7.078
1508.990, -3.986, 7.079
1509.356, -3.986, 7.079
1509.722, -3.986, 7.080
1510.088, -3.986, 7.080
1510.454, -3.986, 7.081
1510.821, -3.986, 7.082
1511.187, -3.986, 7.083
1511.553, -3.986, 7.083
1511.919, -3.986, 7.084
1512.285, -3.986, 7.085
1512.652, -3.985, 7.085
1513.018, -3.985, 7.085
1513.384, -3.986, 7.086
1513.750, -3.986, 7.087
1514.116, -3.986, 7.088
1514.483, -3.985, 7.089
1514.849, -3.985, 7.089
1515.215, -3.985, 7.090
1515.581, -3.985, 7.090
1515.948, -3.985, 7.091
1516.314, -3.985, 7.092
1516.680, -3.985, 7.092
1517.046, -3.985, 7.093
1517.412, -3.985, 7.094
1517.779, -3.985, 7.094
1518.145, -3.985, 7.095
1518.511, -3.985, 7.095
1518.877, -3.985, 7.096
1519.244, -3.985, 7.097
1519.610, -3.985, 7.097
1519.976, -3.985, 7.098
1520.342, -3.985, 7.099
1520.708, -3.985, 7.099
1521.075, -3.985, 7.100
1521.441, -3.985, 7.101
1521.807, -3.985, 7.101
1522.173, -3.985, 7.102
1522.539, -3.985, 7.103
1522.906, -3.985, 7.103
1523.272, -3.985, 7.104
1523.638, -3.985, 7.105
1524.004, -3.985, 7.106
1524.370, -3.985, 7.106
1524.737, -3.985, 7.107
1525.103, -3.985, 7.108
1525.469, -3.985, 7.108
1525.835, -3.985, 7.109
1526.202, -3.985, 7.109
1526.568, -3.985, 7.110
1526.934, -3.985, 7.111
1527.300, -3.985, 7.111
1527.666, -3.985, 7.112
1528.033, -3.985, 7.113
1528.399, -3.985, 7.114
1528.765, -3.985, 7.114
1529.131, -3.985, 7.115
1529.498, -3.985, 7.116
1529.864, -3.985, 7.116
1530.230, -3.985, 7.117
1530.596, -3.985, 7.118
1530.962, -3.985, 7.118
1531.329, -3.985, 7.119
1531.695, -3.984, 7.120
1532.061, -3.984, 7.120
1532.427, -3.984, 7.121
1532.793, -3.984, 7.121
1533.160, -3.984, 7.122
1533.526, -3.984, 7.123
1533.892, -3.984, 7.124
1534.258, -3.984, 7.124
1534.625, -3.984, 7.125
1534.991, -3.984, 7.126
1535.357, -3.984, 7.126
1535.723, -3.984, 7.127
1536.089, -3.984, 7.128
1536.456, -3.984, 7.128
1536.822, -3.984, 7.129
1537.188, -3.984, 7.130
1537.554, -3.984, 7.131
1537.920, -3.984, 7.131
1538.287, -3.984, 7.132
1538.653, -3.984, 7.132
1539.019, -3.984, 7.133
1539.385, -3.984, 7.134
1539.752, -3.984, 7.134
1540.118, -3.984, 7.135
1540.484, -3.984, 7.136
1540.850, -3.984, 7.137
1541.216, -3.984, 7.137
1541.583, -3.984, 7.138
1541.949, -3.984, 7.138
1542.315, -3.984, 7.139
1542.681, -3.984, 7.140
1543.047, -3.984, 7.140
1543.414, -3.984, 7.141
1543.780, -3.984, 7.142
1544.146, -3.984, 7.143
1544.512, -3.984, 7.144
1544.879, -3.984, 7.144
1545.245, -3.984, 7.145
1545.611, -3.984, 7.145
1545.977, -3.984, 7.146
1546.343, -3.984, 7.147
1546.710, -3.984, 7.148
1547.076, -3.984, 7.148
1547.442, -3.984, 7.149
1547.808, -3.984, 7.150
1548.174, -3.984, 7.150
1548.541, -3.984, 7.151
1548.907, -3.984, 7.151
1549.273, -3.984, 7.152
1549.639, -3.984, 7.153
1550.006, -3.984, 7.154
1550.372, -3.984, 7.154
1550.738, -3.984, 7.155
1551.104, -3.984, 7.156
1551.470, -3.984, 7.156
1551.837, -3.984, 7.157
1552.203, -3.983, 7.158
1552.569, -3.983, 7.159
1552.935, -3.983, 7.159
1553.302, -3.983, 7.160
1553.668, -3.983, 7.160
1554.034, -3.983, 7.161
1554.400, -3.983, 7.161
1554.766, -3.983, 7.162
1555.133, -3.983, 7.163
1555.499, -3.983, 7.164
1555.865, -3.983, 7.165
1556.231, -3.983, 7.165
1556.597, -3.983, 7.166
1556.964, -3.983, 7.167
1557.330, -3.983, 7.167
1557.696, -3.983, 7.168
1558.062, -3.983, 7.168
1558.428, -3.983, 7.169
1558.795, -3.983, 7.170
1559.161, -3.983, 7.171
1559.527, -3.983, 7.171
1559.893, -3.983, 7.172
1560.260, -3.983, 7.173
1560.626, -3.983, 7.174
1560.992, -3.983, 7.174
1561.358, -3.983, 7.175
1561.724, -3.983, 7.175
1562.091, -3.983, 7.176
1562.457, -3.983, 7.177
1562.823, -3.983, 7.178
1563.189, -3.983, 7.178
1563.556, -3.983, 7.179
1563.922, -3.983, 7.180
1564.288, -3.983, 7.181
1564.654, -3.983, 7.181
1565.020, -3.983, 7.182
1565.387, -3.983, 7.183
1565.753, -3.983, 7.183
1566.119, -3.983, 7.184
1566.485, -3.983, 7.185
1566.851, -3.983, 7.186
1567.218, -3.983, 7.186
1567.584, -3.983, 7.187
1567.950, -3.983, 7.187
1568.316, -3.983, 7.188
1568.682, -3.983, 7.189
1569.049, -3.983, 7.189
1569.415, -3.983, 7.190
1569.781, -3.983, 7.191
1570.147, -3.983, 7.192
1570.514, -3.983, 7.193
1570.880, -3.983, 7.193
1571.246, -3.983, 7.194
1571.612, -3.983, 7.195
1571.979, -3.983, 7.195
1572.345, -3.983, 7.196
1572.711, -3.982, 7.197
1573.077, -3.982, 7.197
1573.443, -3.982, 7.198
1573.810, -3.982, 7.199
1574.176, -3.982, 7.199
1574.542, -3.982, 7.200
1574.908, -3.982, 7.201
1575.274, -3.982, 7.202
1575.641, -3.982, 7.203
1576.007, -3.982, 7.203
1576.373, -3.982, 7.204
1576.739, -3.982, 7.205
1577.105, -3.982, 7.206
1577.472, -3.982, 7.206
1577.838, -3.982, 7.207
1578.204, -3.982, 7.208
1578.570, -3.982, 7.208
1578.937, -3.982, 7.209
1579.303, -3.982, 7.210
1579.669, -3.982, 7.210
1580.035, -3.982, 7.211
1580.401, -3.982, 7.211
1580.768, -3.982, 7.212
1581.134, -3.982, 7.213
1581.500, -3.982, 7.213
1581.866, -3.982, 7.214
1582.233, -3.982, 7.215
1582.599, -3.982, 7.216
1582.965, -3.982, 7.217
1583.331, -3.982, 7.217
1583.697, -3.982, 7.218
1584.064, -3.982, 7.219
1584.430, -3.982, 7.219
1584.796, -3.982, 7.220
1585.162, -3.982, 7.221
1585.528, -3.982, 7.222
1585.895, -3.982, 7.222
1586.261, -3.982, 7.223
1586.627, -3.982, 7.223
1586.993, -3.982, 7.224
1587.359, -3.982, 7.225
1587.726, -3.982, 7.226
1588.092, -3.982, 7.226
1588.458, -3.982, 7.227
1588.824, -3.982, 7.228
1589.191, -3.982, 7.228
1589.557, -3.982, 7.229
1589.923, -3.982, 7.230
1590.289, -3.982, 7.230
1590.655, -3.982, 7.231
1591.022, -3.982, 7.232
1591.388, -3.982, 7.233
1591.754, -3.982, 7.234
1592.120, -3.982, 7.235
1592.487, -3.982, 7.235
1592.853, -3.981, 7.236
1593.219, -3.981, 7.237
1593.585, -3.981, 7.237
1593.951, -3.981, 7.238
1594.318, -3.981, 7.239
1594.684, -3.981, 7.239
1595.050, -3.981, 7.240
1595.416, -3.981, 7.241
1595.782, -3.981, 7.242
1596.149, -3.981, 7.242
1596.515, -3.981, 7.243
1596.881, -3.981, 7.244
1597.247, -3.981, 7.244
1597.614, -3.981, 7.245
1597.980, -3.981, 7.246
1598.346, -3.981, 7.246
1598.712, -3.981, 7.247
1599.078, -3.981, 7.248
1599.445, -3.981, 7.248
1599.811, -3.981, 7.249
1600.177, -3.981, 7.250
1600.543, -3.981, 7.251
1600.909, -3.981, 7.251
1601.276, -3.981, 7.252
1601.642, -3.981, 7.253
1602.008, -3.981, 7.254
1602.374, -3.981, 7.254
1602.740, -3.981, 7.255
1603.107, -3.981, 7.256
1603.473, -3.981, 7.256
1603.839, -3.981, 7.257
1604.205, -3.981, 7.258
1604.572, -3.981, 7.259
1604.938, -3.981, 7.260
1605.304, -3.981, 7.260
1605.670, -3.981, 7.261
1606.036, -3.981, 7.261
1606.403, -3.981, 7.262
1606.769, -3.981, 7.263
1607.135, -3.981, 7.264
1607.501, -3.981, 7.264
1607.868, -3.981, 7.265
1608.234, -3.981, 7.266
1608.600, -3.981, 7.266
1608.966, -3.981, 7.267
1609.332, -3.981, 7.268
1609.699, -3.981, 7.269
1610.065, -3.981, 7.270
1610.431, -3.981, 7.271
1610.797, -3.981, 7.271
1611.163, -3.981, 7.272
1611.530, -3.981, 7.272
1611.896, -3.981, 7.273
1612.262, -3.981, 7.274
1612.628, -3.981, 7.275
1612.995, -3.981, 7.275
1613.361, -3.981, 7.276
1613.727, -3.981, 7.277
1614.093, -3.981, 7.277
1614.459, -3.981, 7.278
1614.826, -3.981, 7.279
1615.192, -3.980, 7.280
1615.558, -3.980, 7.281
1615.924, -3.980, 7.281
1616.291, -3.980, 7.282
1616.657, -3.980, 7.282
1617.023, -3.980, 7.283
1617.389, -3.980, 7.284
1617.755, -3.980, 7.285
1618.122, -3.980, 7.286
1618.488, -3.980, 7.286
1618.854, -3.980, 7.287
1619.220, -3.980, 7.287
1619.586, -3.980, 7.288
1619.953, -3.980, 7.289
1620.319, -3.980, 7.290
1620.685, -3.980, 7.291
1621.051, -3.980, 7.292
1621.417, -3.980, 7.292
1621.784, -3.980, 7.293
1622.150, -3.980, 7.293
1622.516, -3.980, 7.294
1622.882, -3.980, 7.295
1623.249, -3.980, 7.296
1623.615, -3.980, 7.296
1623.981, -3.980, 7.297
1624.347, -3.980, 7.298
1624.714, -3.980, 7.298
1625.080, -3.980, 7.299
1625.446, -3.980, 7.300
1625.812, -3.980, 7.301
1626.178, -3.980, 7.302
1626.545, -3.980, 7.302
1626.911, -3.980, 7.303
1627.277, -3.980, 7.304
1627.643, -3.980, 7.304
1628.009, -3.980, 7.305
1628.376, -3.980, 7.306
1628.742, -3.980, 7.307
1629.108, -3.980, 7.307
1629.474, -3.980, 7.308
1629.840, -3.980, 7.309
1630.207, -3.980, 7.310
1630.573, -3.980, 7.310
1630.939, -3.980, 7.311
1631.305, -3.980, 7.312
1631.672, -3.980, 7.313
1632.038, -3.980, 7.313
1632.404, -3.980, 7.314
1632.770, -3.980, 7.315
1633.136, -3.980, 7.316
1633.503, -3.980, 7.316
1633.869, -3.980, 7.317
1634.235, -3.980, 7.318
1634.601, -3.980, 7.319
1634.967, -3.980, 7.319
1635.334, -3.980, 7.320
1635.700, -3.980, 7.321
1636.066, -3.980, 7.321
1636.432, -3.980, 7.322
1636.799, -3.980, 7.323
1637.165, -3.979, 7.324
1637.531, -3.979, 7.324
1637.897, -3.979, 7.325
1638.263, -3.979, 7.326
1638.630, -3.979, 7.327
1638.996, -3.979, 7.327
1639.362, -3.979, 7.328
1639.728, -3.979, 7.329
1640.094, -3.979, 7.330
1640.461, -3.979, 7.330
1640.827, -3.979, 7.331
1641.193, -3.979, 7.332
1641.559, -3.979, 7.333
1641.926, -3.979, 7.334
1642.292, -3.979, 7.334
1642.658, -3.979, 7.335
1643.024, -3.979, 7.336
1643.390, -3.979, 7.337
1643.757, -3.979, 7.337
1644.123, -3.979, 7.338
1644.489, -3.979, 7.339
1644.855, -3.979, 7.339
1645.221, -3.979, 7.340
1645.588, -3.979, 7.341
1645.954, -3.979, 7.341
1646.320, -3.979, 7.342
1646.686, -3.979, 7.343
1647.053, -3.979, 7.344
1647.419, -3.979, 7.345
1647.785, -3.979, 7.346
1648.151, -3.979, 7.346
1648.517, -3.979, 7.347
1648.884, -3.979, 7.347
1649.250, -3.979, 7.348
1649.616, -3.979, 7.349
1649.982, -3.979, 7.350
1650.349, -3.979, 7.351
1650.715, -3.979, 7.351
1651.081, -3.979, 7.352
1651.447, -3.979, 7.353
1651.813, -3.979, 7.353
1652.180, -3.979, 7.354
1652.546, -3.979, 7.355
1652.912, -3.979, 7.356
1653.278, -3.979, 7.357
1653.644, -3.979, 7.357
1654.011, -3.979, 7.358
1654.377, -3.979, 7.359
1654.743, -3.979, 7.359
1655.109, -3.979, 7.360
1655.475, -3.979, 7.361
1655.842, -3.979, 7.362
1656.208, -3.979, 7.363
1656.574, -3.979, 7.363
1656.940, -3.979, 7.364
1657.307, -3.979, 7.365
1657.673, -3.979, 7.366
1658.039, -3.979, 7.366
1658.405, -3.979, 7.367
1658.771, -3.979, 7.368
1659.138, -3.979, 7.369
1659.504, -3.979, 7.369
1659.870, -3.979, 7.370
1660.236, -3.979, 7.371
1660.603, -3.979, 7.372
1660.969, -3.978, 7.373
1661.335, -3.978, 7.373
1661.701, -3.978, 7.374
1662.067, -3.978, 7.375
1662.434, -3.978, 7.375
1662.800, -3.978, 7.376
1663.166, -3.978, 7.377
1663.532, -3.978, 7.378
1663.898, -3.978, 7.379
1664.265, -3.978, 7.379
1664.631, -3.978, 7.380
1664.997, -3.978, 7.381
1665.363, -3.978, 7.381
1665.729, -3.978, 7.382
1666.096, -3.978, 7.383
1666.462, -3.978, 7.384
1666.828, -3.978, 7.385
1667.194, -3.978, 7.385
1667.561, -3.978, 7.386
1667.927, -3.978, 7.387
1668.293, -3.978, 7.387
1668.659, -3.978, 7.388
1669.026, -3.978, 7.389
1669.392, -3.978, 7.390
1669.758, -3.978, 7.391
1670.124, -3.978, 7.391
1670.490, -3.978, 7.392
1670.857, -3.978, 7.393
1671.223, -3.978, 7.394
1671.589, -3.978, 7.394
1671.955, -3.978, 7.395
1672.321, -3.978, 7.396
1672.688, -3.978, 7.397
1673.054, -3.978, 7.397
1673.420, -3.978, 7.398
1673.786, -3.978, 7.399
1674.152, -3.978, 7.400
1674.519, -3.978, 7.401
1674.885, -3.978, 7.401
1675.251, -3.978, 7.402
1675.617, -3.978, 7.402
1675.984, -3.978, 7.403
1676.350, -3.978, 7.404
1676.716, -3.978, 7.405
1677.082, -3.978, 7.406
1677.448, -3.978, 7.407
1677.815, -3.978, 7.408
1678.181, -3.978, 7.409
1678.547, -3.978, 7.409
1678.913, -3.978, 7.410
1679.280, -3.978, 7.410
1679.646, -3.978, 7.411
1680.012, -3.978, 7.411
1680.378, -3.978, 7.412
1680.744, -3.978, 7.413
1681.111, -3.978, 7.414
1681.477, -3.978, 7.415
1681.843, -3.978, 7.415
1682.209, -3.978, 7.416
1682.575, -3.978, 7.417
1682.942, -3.978, 7.418
1683.308, -3.978, 7.418
1683.674, -3.978, 7.419
1684.040, -3.978, 7.420
1684.406, -3.978, 7.421
1684.773, -3.977, 7.422
1685.139, -3.977, 7.422
1685.505, -3.977, 7.423
1685.871, -3.977, 7.424
1686.238, -3.977, 7.425
1686.604, -3.977, 7.426
1686.970, -3.977, 7.427
1687.336, -3.977, 7.427
1687.702, -3.977, 7.428
1688.069, -3.977, 7.429
1688.435, -3.977, 7.429
1688.801, -3.977, 7.430
1689.167, -3.977, 7.431
1689.534, -3.977, 7.432
1689.900, -3.977, 7.433
1690.266, -3.977, 7.433
1690.632, -3.977, 7.434
1690.998, -3.977, 7.435
1691.365, -3.977, 7.436
1691.731, -3.977, 7.436
1692.097, -3.977, 7.437
1692.463, -3.977, 7.438
1692.829, -3.977, 7.439
1693.196, -3.977, 7.440
1693.562, -3.977, 7.440
1693.928, -3.977, 7.441
1694.294, -3.977, 7.442
1694.661, -3.977, 7.443
1695.027, -3.977, 7.443
1695.393, -3.977, 7.444
1695.759, -3.977, 7.445
1696.125, -3.977, 7.446
1696.492, -3.977, 7.447
1696.858, -3.977, 7.447
1697.224, -3.977, 7.447
1697.590, -3.977, 7.448
1697.956, -3.977, 7.449
1698.323, -3.977, 7.450
1698.689, -3.977, 7.451
1699.055, -3.977, 7.452
1699.421, -3.977, 7.453
1699.788, -3.977, 7.453
1700.154, -3.977, 7.454
1700.520, -3.977, 7.455
1700.886, -3.977, 7.455
1701.252, -3.977, 7.456
1701.619, -3.977, 7.457
1701.985, -3.977, 7.458
1702.351, -3.977, 7.459
1702.717, -3.977, 7.459
1703.083, -3.977, 7.460
1703.450, -3.977, 7.461
1703.816, -3.977, 7.462
1704.182, -3.977, 7.462
1704.548, -3.977, 7.463
1704.915, -3.977, 7.464
1705.281, -3.977, 7.464
1705.647, -3.977, 7.465
1706.013, -3.977, 7.466
1706.379, -3.977, 7.467
1706.746, -3.977, 7.468
1707.112, -3.977, 7.468
1707.478, -3.977, 7.469
1707.844, -3.977, 7.470
1708.210, -3.977, 7.471
1708.577, -3.977, 7.472
1708.943, -3.977, 7.472
1709.309, -3.976, 7.473
1709.675, -3.976, 7.474
1710.042, -3.976, 7.475
1710.408, -3.976, 7.475
1710.774, -3.976, 7.476
1711.140, -3.976, 7.477
1711.506, -3.976, 7.478
1711.873, -3.976, 7.479
1712.239, -3.976, 7.479
1712.605, -3.976, 7.480
1712.971, -3.976, 7.481
1713.338, -3.976, 7.481
1713.704, -3.976, 7.482
1714.070, -3.976, 7.483
1714.436, -3.976, 7.484
1714.802, -3.976, 7.484
1715.169, -3.976, 7.485
1715.535, -3.976, 7.486
1715.901, -3.976, 7.487
1716.267, -3.976, 7.488
1716.633, -3.976, 7.489
1717.000, -3.976, 7.490
1717.366, -3.976, 7.491
1717.732, -3.976, 7.491
1718.098, -3.976, 7.492
1718.464, -3.976, 7.493
1718.831, -3.976, 7.493
1719.197, -3.976, 7.494
1719.563, -3.976, 7.495
1719.929, -3.976, 7.495
1720.296, -3.976, 7.496
1720.662, -3.976, 7.497
1721.028, -3.976, 7.498
1721.394, -3.976, 7.498
1721.760, -3.976, 7.499
1722.127, -3.976, 7.500
1722.493, -3.976, 7.501
1722.859, -3.976, 7.502
1723.225, -3.976, 7.503
1723.592, -3.976, 7.504
1723.958, -3.976, 7.505
1724.324, -3.976, 7.505
1724.690, -3.976, 7.506
1725.056, -3.976, 7.506
1725.423, -3.976, 7.507
1725.789, -3.976, 7.508
1726.155, -3.976, 7.509
1726.521, -3.976, 7.510
1726.887, -3.976, 7.510
1727.254, -3.976, 7.511
1727.620, -3.976, 7.511
1727.986, -3.976, 7.512
1728.352, -3.976, 7.513
1728.719, -3.976, 7.514
1729.085, -3.976, 7.515
1729.451, -3.976, 7.516
1729.817, -3.976, 7.517
1730.183, -3.976, 7.517
1730.550, -3.976, 7.518
1730.916, -3.976, 7.519
1731.282, -3.976, 7.520
1731.648, -3.976, 7.520
1732.015, -3.976, 7.521
1732.381, -3.976, 7.522
1732.747, -3.976, 7.523
1733.113, -3.976, 7.524
1733.479, -3.976, 7.524
1733.846, -3.976, 7.525
1734.212, -3.976, 7.526
1734.578, -3.976, 7.527
1734.944, -3.976, 7.528
1735.310, -3.976, 7.528
1735.677, -3.976, 7.529
1736.043, -3.976, 7.530
1736.409, -3.976, 7.531
1736.775, -3.975, 7.532
1737.141, -3.975, 7.533
1737.508, -3.975, 7.534
1737.874, -3.975, 7.534
1738.240, -3.975, 7.535
1738.606, -3.975, 7.536
1738.973, -3.975, 7.536
1739.339, -3.975, 7.536
1739.705, -3.975, 7.536
1740.071, -3.975, 7.537
1740.437, -3.975, 7.538
1740.804, -3.975, 7.540
1741.170, -3.975, 7.541
1741.536, -3.975, 7.542
1741.902, -3.975, 7.542
1742.269, -3.975, 7.543
1742.635, -3.975, 7.543
1743.001, -3.975, 7.544
1743.367, -3.975, 7.545
1743.733, -3.975, 7.546
1744.100, -3.975, 7.547
1744.466, -3.975, 7.548
1744.832, -3.975, 7.549
1745.198, -3.975, 7.550
1745.564, -3.975, 7.551
1745.931, -3.975, 7.551
1746.297, -3.975, 7.552
1746.663, -3.975, 7.553
1747.029, -3.975, 7.553
1747.396, -3.975, 7.554
1747.762, -3.975, 7.555
1748.128, -3.975, 7.556
1748.494, -3.975, 7.557
1748.860, -3.975, 7.558
1749.227, -3.975, 7.559
1749.593, -3.975, 7.559
1749.959, -3.975, 7.560
1750.325, -3.975, 7.561
1750.691, -3.975, 7.561
1751.058, -3.975, 7.562
1751.424, -3.975, 7.563
1751.790, -3.975, 7.564
1752.156, -3.975, 7.565
1752.523, -3.975, 7.566
1752.889, -3.975, 7.567
1753.255, -3.975, 7.567
1753.621, -3.975, 7.568
1753.987, -3.975, 7.569
1754.354, -3.975, 7.569
1754.720, -3.975, 7.570
1755.086, -3.975, 7.571
1755.452, -3.975, 7.572
1755.818, -3.975, 7.573
1756.185, -3.975, 7.573
1756.551, -3.975, 7.574
1756.917, -3.975, 7.575
1757.283, -3.975, 7.576
1757.650, -3.975, 7.576
1758.016, -3.975, 7.577
1758.382, -3.975, 7.578
1758.748, -3.975, 7.579
1759.114, -3.975, 7.580
1759.481, -3.975, 7.581
1759.847, -3.975, 7.581
1760.213, -3.975, 7.582
1760.579, -3.975, 7.583
1760.945, -3.975, 7.584
1761.312, -3.975, 7.584
1761.678, -3.975, 7.585
1762.044, -3.975, 7.586
1762.410, -3.975, 7.587
1762.777, -3.975, 7.588
1763.143, -3.975, 7.589
1763.509, -3.975, 7.589
1763.875, -3.975, 7.590
1764.241, -3.975, 7.591
